entry,accessPath,depth,isConstructor,isAsync,hasDocComment,snippets_native,snippets_docs,signature,implLength,implGroupSize
mini,zod-mini.z.core.util.getEnumValues,4,False,False,False,0,0,(entries),275,1
mini,zod-mini.z.core.util.getLengthableOrigin,4,False,False,False,0,0,(input),175,1
mini,zod-mini.z.core.util.getParsedType,4,False,False,False,0,0,(data),1376,1
mini,zod-mini.z.core.util.getSizableOrigin,4,False,False,False,0,0,(input),216,1
mini,zod-mini.z.core.util.isObject,4,False,False,False,0,0,(data),105,1
mini,zod-mini.z.core.util.isPlainObject,4,False,False,False,0,0,(o),480,1
mini,zod-mini.z.core.util.issue,4,False,False,False,0,0,(...args),247,1
mini,zod-mini.z.core.util.joinValues,4,False,False,False,0,0,"(array, separator = ""|"")",119,1
mini,zod-mini.z.core.util.jsonStringifyReplacer,4,False,False,False,0,0,"(_, value)",130,1
mini,zod-mini.z.core.util.merge,4,False,False,False,0,4,"(a, b)",358,1
mini,zod-mini.z.core.util.normalizeParams,4,False,False,False,0,0,(_params),530,1
mini,zod-mini.z.core.util.nullish,4,False,False,False,0,7,(input),77,1
mini,zod-mini.z.core.util.numKeys,4,False,False,False,0,0,(data),202,1
mini,zod-mini.z.core.util.omit,4,False,False,False,0,4,"(schema, mask)",457,1
mini,zod-mini.z.core.util.optionalKeys,4,False,False,False,0,0,(shape),176,1
mini,zod-mini.z.core.util.partial,4,False,False,False,0,18,"(Class, schema, mask)",1054,1
mini,zod-mini.z.core.util.pick,4,False,False,False,0,6,"(schema, mask)",465,1
mini,zod-mini.z.core.util.prefixIssues,4,False,False,False,0,0,"(path, issues)",191,1
mini,zod-mini.z.core.util.promiseAllObject,4,False,False,False,0,0,(promisesObj),369,1
mini,zod-mini.z.core.util.randomString,4,False,False,False,0,0,(length = 10),229,1
mini,zod-mini.z.core.util.required,4,False,False,False,0,12,"(Class, schema, mask)",891,1
mini,zod-mini.z.core.util.stringifyPrimitive,4,False,False,False,0,0,(value),199,1
mini,zod-mini.z.core.util.unwrapMessage,4,False,False,False,0,0,(message),104,1
mini,zod-mini.z.cuid,2,False,False,False,0,3,(params),77,1
mini,zod-mini.z.cuid2,2,False,False,False,0,3,(params),80,1
mini,zod-mini.z.custom,2,False,False,False,0,1,"(fn, _params)",109,1
mini,zod-mini.z.date,2,False,False,False,0,78,(params),77,1
mini,zod-mini.z.discriminatedUnion,2,False,False,False,0,5,"(discriminator, options, params)",237,1
mini,zod-mini.z.e164,2,False,False,False,0,1,(params),77,1
mini,zod-mini.z.email,2,False,False,False,0,17,(params),80,1
mini,zod-mini.z.emoji,2,False,False,False,0,8,(params),80,1
mini,zod-mini.z.endsWith,2,False,False,False,0,4,"(suffix, params)",206,1
mini,zod-mini.z.enum,2,False,False,False,0,18,"(values, params)",270,1
mini,zod-mini.z.extend,2,False,False,False,0,22,"(schema, shape)",84,1
mini,zod-mini.z.file,2,False,False,False,0,5,(params),77,1
mini,zod-mini.z.float32,2,False,False,False,0,2,(params),91,1
mini,zod-mini.z.float64,2,False,False,False,0,2,(params),91,1
mini,zod-mini.z.gt,2,False,False,False,0,8,"(value, params)",197,1
mini,zod-mini.z.gte,2,False,False,False,0,8,"(value, params)",197,1
mini,zod-mini.z.guid,2,False,False,False,0,2,(params),77,1
mini,zod-mini.z.includes,2,False,False,False,0,11,"(includes, params)",209,1
mini,zod-mini.z.instanceof,2,False,False,False,0,3,"(cls, params = {
    error: `Input not instance of ${cls.name}`,
})",203,1
mini,zod-mini.z.int,2,False,False,False,0,9,(params),83,1
mini,zod-mini.z.int32,2,False,False,False,0,3,(params),87,1
mini,zod-mini.z.int64,2,False,False,False,0,3,(params),87,1
mini,zod-mini.z.intersection,2,False,False,False,0,6,"(left, right)",163,1
mini,zod-mini.z.ipv4,2,False,False,False,0,5,(params),77,1
mini,zod-mini.z.ipv6,2,False,False,False,0,5,(params),77,1
mini,zod-mini.z.iso.ZodMiniISODate,3,False,False,False,0,0,(def),280,158
mini,zod-mini.z.iso.ZodMiniISODate.init,4,False,False,False,0,0,"(inst, def)",568,158
mini,zod-mini.z.iso.ZodMiniISODateTime,3,False,False,False,0,0,(def),280,158
mini,zod-mini.z.iso.ZodMiniISODateTime.init,4,False,False,False,0,0,"(inst, def)",568,158
mini,zod-mini.z.iso.ZodMiniISODuration,3,False,False,False,0,0,(def),280,158
mini,zod-mini.z.iso.ZodMiniISODuration.init,4,False,False,False,0,0,"(inst, def)",568,158
mini,zod-mini.z.iso.ZodMiniISOTime,3,False,False,False,0,0,(def),280,158
mini,zod-mini.z.iso.ZodMiniISOTime.init,4,False,False,False,0,0,"(inst, def)",568,158
mini,zod-mini.z.iso.date,3,False,False,False,0,78,(params),83,1
mini,zod-mini.z.iso.datetime,3,False,False,False,0,26,(params),95,1
mini,zod-mini.z.iso.duration,3,False,False,False,0,3,(params),95,1
mini,zod-mini.z.iso.time,3,False,False,False,0,16,(params),83,1
mini,zod-mini.z.json,2,False,False,False,0,0,(),200,1
mini,zod-mini.z.jwt,2,False,False,False,0,1,(params),74,1
mini,zod-mini.z.keyof,2,False,False,False,0,3,(schema),107,1
mini,zod-mini.z.ksuid,2,False,False,False,0,0,(params),80,1
mini,zod-mini.z.lazy,2,False,False,False,0,4,(getter),117,1
mini,zod-mini.z.length,2,False,False,False,0,8,"(length, params)",179,1
mini,zod-mini.z.literal,2,False,False,False,0,11,"(value, params)",216,1
mini,zod-mini.z.looseObject,2,False,False,False,0,2,"(shape, params)",460,1
mini,zod-mini.z.lowercase,2,False,False,False,0,4,(params),184,1
mini,zod-mini.z.lt,2,False,False,False,0,8,"(value, params)",191,1
mini,zod-mini.z.lte,2,False,False,False,0,8,"(value, params)",191,1
mini,zod-mini.z.map,2,False,False,False,0,6,"(keyType, valueType, params)",217,1
mini,zod-mini.z.maxLength,2,False,False,False,0,8,"(maximum, params)",197,1
mini,zod-mini.z.maxSize,2,False,False,False,0,4,"(maximum, params)",172,1
mini,zod-mini.z.merge,2,False,False,False,0,4,"(schema, shape)",83,1
mini,zod-mini.z.mime,2,False,False,False,0,4,"(types, params)",173,1
mini,zod-mini.z.minLength,2,False,False,False,0,10,"(minimum, params)",178,1
mini,zod-mini.z.minSize,2,False,False,False,0,4,"(minimum, params)",172,1
mini,zod-mini.z.multipleOf,2,False,False,False,0,8,"(value, params)",177,1
mini,zod-mini.z.nan,2,False,False,False,0,3,(params),74,1
mini,zod-mini.z.nanoid,2,False,False,False,0,3,(params),83,1
mini,zod-mini.z.nativeEnum,2,False,False,False,0,3,"(entries, params)",176,1
mini,zod-mini.z.negative,2,False,False,False,0,8,(params),57,1
mini,zod-mini.z.never,2,False,False,False,0,1,(params),80,1
mini,zod-mini.z.nonnegative,2,False,False,False,0,8,(params),61,1
mini,zod-mini.z.nonoptional,2,False,False,False,0,1,"(innerType, params)",206,1
mini,zod-mini.z.nonpositive,2,False,False,False,0,8,(params),61,1
mini,zod-mini.z.normalize,2,False,False,False,0,0,(form),86,1
mini,zod-mini.z.null,2,False,False,False,0,6,(params),78,1
mini,zod-mini.z.nullable,2,False,False,False,0,12,(innerType),137,1
mini,zod-mini.z.nullish,2,False,False,False,0,7,(innerType),73,1
mini,zod-mini.z.number,2,False,False,False,0,168,(params),83,1
mini,zod-mini.z.object,2,False,False,False,0,81,"(shape, params)",311,1
mini,zod-mini.z.omit,2,False,False,False,0,4,"(schema, mask)",78,1
mini,zod-mini.z.optional,2,False,False,False,0,18,(innerType),137,1
mini,zod-mini.z.overwrite,2,False,False,False,0,2,(tx),118,1
mini,zod-mini.z.partial,2,False,False,False,0,18,"(schema, mask)",109,1
mini,zod-mini.z.partialRecord,2,False,False,False,0,2,"(keyType, valueType, params)",251,1
mini,zod-mini.z.pick,2,False,False,False,0,6,"(schema, mask)",78,1
mini,zod-mini.z.pipe,2,False,False,False,0,5,"(in_, out)",129,1
mini,zod-mini.z.positive,2,False,False,False,0,9,(params),57,1
mini,zod-mini.z.prefault,2,False,False,False,0,3,"(innerType, defaultValue)",278,1
mini,zod-mini.z.promise,2,False,False,False,0,1,(innerType),134,1
mini,zod-mini.z.property,2,False,False,False,0,0,"(property, schema, params)",200,1
mini,zod-mini.z.readonly,2,False,False,False,0,6,(innerType),137,1
mini,zod-mini.z.record,2,False,False,False,0,9,"(keyType, valueType, params)",217,1
mini,zod-mini.z.refine,2,False,False,False,0,35,"(fn, _params = {})",98,1
mini,zod-mini.z.regex,2,False,False,False,0,5,"(pattern, params)",198,1
mini,zod-mini.z.required,2,False,False,False,0,12,"(schema, mask)",114,1
mini,zod-mini.z.set,2,False,False,False,0,14,"(valueType, params)",182,1
mini,zod-mini.z.size,2,False,False,False,0,5,"(size, params)",169,1
mini,zod-mini.z.startsWith,2,False,False,False,0,5,"(prefix, params)",212,1
mini,zod-mini.z.strictObject,2,False,False,False,0,3,"(shape, params)",371,1
mini,zod-mini.z.string,2,False,False,False,0,807,(params),83,1
mini,zod-mini.z.stringFormat,2,False,False,False,0,0,"(format, fnOrRegex, _params = {})",152,1
mini,zod-mini.z.stringbool,2,False,False,False,0,4,(...args),187,1
mini,zod-mini.z.success,2,False,False,False,0,0,(innerType),134,1
mini,zod-mini.z.symbol,2,False,False,False,0,4,(params),83,1
mini,zod-mini.z.templateLiteral,2,False,False,False,0,3,"(parts, params)",200,1
mini,zod-mini.z.toLowerCase,2,False,False,False,0,8,(),82,1
mini,zod-mini.z.toUpperCase,2,False,False,False,0,5,(),82,1
mini,zod-mini.z.transform,2,False,False,False,0,27,(fn),126,1
mini,zod-mini.z.trim,2,False,False,False,0,9,(),68,1
mini,zod-mini.z.tuple,2,False,False,False,0,8,"(items, _paramsOrRest, _params)",369,1
mini,zod-mini.z.uint32,2,False,False,False,0,1,(params),89,1
mini,zod-mini.z.uint64,2,False,False,False,0,1,(params),89,1
mini,zod-mini.z.ulid,2,False,False,False,0,3,(params),77,1
mini,zod-mini.z.undefined,2,False,False,False,0,4,(params),93,1
mini,zod-mini.z.union,2,False,False,False,0,12,"(options, params)",182,1
mini,zod-mini.z.unknown,2,False,False,False,0,5,(),72,1
mini,zod-mini.z.uppercase,2,False,False,False,0,3,(params),184,1
mini,zod-mini.z.url,2,False,False,False,0,10,(params),74,1
mini,zod-mini.z.uuid,2,False,False,False,0,22,(params),77,1
mini,zod-mini.z.uuidv4,2,False,False,False,0,2,(params),81,1
mini,zod-mini.z.uuidv6,2,False,False,False,0,1,(params),81,1
mini,zod-mini.z.uuidv7,2,False,False,False,0,2,(params),81,1
mini,zod-mini.z.void,2,False,False,False,0,3,(params),78,1
mini,zod-mini.z.xid,2,False,False,False,0,0,(params),74,1
